layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.06187453120946884,0.06187453120946884
-1,1,18143,1,Fact,,1.0,0.037401556968688965,0.14377352595329285
-1,2,235292,2,:,,1.0,0.020111635327339172,0.19348649680614471
-1,3,714,3, The,,1.0,0.0143965482711792,0.27678126096725464
-1,4,1546,4, most,,1.0,0.016089454293251038,0.26238471269607544
-1,5,3818,5, common,,1.0,0.016320303082466125,0.2462952584028244
-1,6,2881,6, color,,1.0,0.04449743777513504,0.10637196898460388
-1,7,576,7, of,,1.0,0.01016971468925476,0.297895610332489
-1,8,573,8, the,,1.0,0.008825600147247314,0.31583282351493835
-1,9,8205,9, animal,,1.0,0.016885831952095032,0.22997495532035828
-1,10,674,10, that,,1.0,0.008814632892608643,0.324647456407547
-1,11,6128,11, goes,,1.0,0.009111613035202026,0.30700722336769104
-1,12,777,12, ',,1.0,0.010944634675979614,0.28772589564323425
-1,13,91884,13,bark,,1.0,0.01960262656211853,0.21308912336826324
-1,14,235303,14,',,1.0,0.008393436670303345,0.33304089307785034
-1,15,603,15, is,,1.0,0.029601335525512695,0.17337486147880554
0,-1,0,1,Fact,,1.0,0.0009965300559997559,0.5830594897270203
0,-1,0,2,:,,1.0,0.0008685588836669922,0.6082528829574585
0,-1,0,3, The,,1.0,0.000493168830871582,0.7015739679336548
0,-1,0,4, most,,1.0,0.0006157755851745605,0.7894774079322815
0,-1,0,5, common,,1.0,0.0006747841835021973,0.6505446434020996
0,-1,0,6, color,,1.0,0.0012286901473999023,0.5335282683372498
0,-1,0,7, of,,1.0,0.00045096874237060547,0.7189578413963318
0,-1,0,9, animal,,1.0,0.0007206201553344727,0.6352646350860596
0,-1,0,11, goes,,1.0,0.0005288124084472656,0.6893446445465088
0,-1,0,13,bark,,1.0,0.0007963776588439941,0.6224043369293213
0,-1,0,15, is,,1.0,0.00033921003341674805,0.7703352570533752
0,26795,230,15, is,3.25,1.0,0.0025932490825653076,0.42557817697525024
0,61424,349,9, animal,1.2734375,1.0,0.00043696165084838867,0.7282642722129822
0,827540,1285,1,Fact,2.046875,1.0,0.00034737586975097656,0.7672523856163025
0,2338202,2161,2,:,5.28125,1.0,0.0017301440238952637,0.4832150638103485
0,2338202,2161,7, of,2.296875,1.0,0.0004888176918029785,0.7030459642410278
0,2338202,2161,14,',4.875,1.0,0.000582277774810791,0.6690357327461243
0,2727279,2334,1,Fact,1.1796875,1.0,0.0003177523612976074,0.7844923138618469
0,4337984,2944,6, color,2.921875,1.0,0.00039255619049072266,0.7476086020469666
0,4337984,2944,9, animal,5.15625,1.0,0.000368654727935791,0.7594113945960999
0,5522825,3322,2,:,1.21875,1.0,0.0007314085960388184,0.6330936551094055
0,7336364,3829,14,',3.40625,1.0,0.0003566145896911621,0.7630417346954346
0,8058104,4013,5, common,1.0703125,1.0,0.000437319278717041,0.727389931678772
0,9285894,4308,6, color,1.40625,1.0,0.0010330677032470703,0.5719237923622131
0,11359760,4765,14,',3.0625,1.0,0.0004209280014038086,0.7329716086387634
0,13527800,5200,15, is,2.8125,1.0,0.004118055105209351,0.38488343358039856
0,16447979,5734,5, common,1.2265625,1.0,0.0005447864532470703,0.6813008785247803
0,17538002,5921,5, common,1.1640625,1.0,0.0003453493118286133,0.7679450511932373
0,24482502,6996,5, common,1.484375,1.0,0.0005863308906555176,0.6678673624992371
0,26780220,7317,4, most,1.46875,1.0,0.00037807226181030273,0.7549290657043457
0,28474830,7545,14,',2.078125,1.0,0.0002962946891784668,0.7946203351020813
0,28557902,7556,6, color,1.109375,1.0,0.00048083066940307617,0.7069146037101746
0,42832139,9254,9, animal,1.4140625,1.0,0.0002868175506591797,0.7981285452842712
0,44363489,9418,1,Fact,2.6875,1.0,0.0007171034812927246,0.6367012858390808
0,57122015,10687,13,bark,1.328125,1.0,0.00044524669647216797,0.722542941570282
0,74011860,12165,12, ',3.4375,1.0,0.000620424747467041,0.6582237482070923
0,75208979,12263,9, animal,1.375,1.0,0.0003177523612976074,0.7841745615005493
0,80981900,12725,5, common,1.328125,1.0,0.0003838539123535156,0.752267062664032
0,81721719,12783,5, common,0.94921875,1.0,0.0003180503845214844,0.7838568091392517
0,87285077,13211,6, color,1.3125,1.0,0.0005451440811157227,0.6807560920715332
0,91226277,13506,8, the,3.265625,1.0,0.00042438507080078125,0.7317054271697998
0,97238484,13944,13,bark,9.4375,1.0,0.0016042888164520264,0.48986753821372986
0,125112470,15817,1,Fact,2.53125,1.0,0.00044465065002441406,0.7229875922203064
0,129387740,16085,4, most,1.4296875,1.0,0.00033718347549438477,0.7716869115829468
0,133456952,16336,1,Fact,0.88671875,1.0,0.00033026933670043945,0.7777115106582642
0,157380410,17740,4, most,2.296875,1.0,0.0005668401718139648,0.6718987822532654
0,174219110,18665,14,',3.03125,1.0,0.00032275915145874023,0.7813032269477844
0,175865634,18753,2,:,7.96875,1.0,0.002117455005645752,0.464426726102829
0,175865634,18753,7, of,6.90625,1.0,0.0010371804237365723,0.5708907246589661
0,175865634,18753,8, the,6.75,1.0,0.000597536563873291,0.6643053293228149
0,175865634,18753,10, that,4.28125,1.0,0.0005303025245666504,0.6888158321380615
0,175865634,18753,12, ',5.25,1.0,0.0005941390991210938,0.6666876077651978
0,175865634,18753,14,',6.53125,1.0,0.0006803274154663086,0.6478341817855835
0,175865634,18753,15, is,5.5,1.0,0.0019741058349609375,0.47049853205680847
0,203464877,20171,10, that,2.53125,1.0,0.0007791519165039062,0.6255409717559814
0,247297679,22238,9, animal,2.40625,1.0,0.0010290741920471191,0.5739833116531372
0,264603509,23003,2,:,2.375,1.0,0.0011948943138122559,0.5407640933990479
0,266516327,23086,1,Fact,1.328125,1.0,0.00041872262954711914,0.7346484065055847
0,312112619,24983,3, The,1.7421875,1.0,0.000459134578704834,0.7148746252059937
0,332574944,25789,2,:,0.73828125,1.0,0.00037032365798950195,0.7590427398681641
0,337623104,25984,8, the,2.9375,1.0,0.000526130199432373,0.6909254789352417
0,357687630,26745,9, animal,1.515625,1.0,0.000535130500793457,0.6856195330619812
0,380811002,27596,5, common,1.875,1.0,0.0008382797241210938,0.6141948103904724
0,398141870,28217,14,',3.546875,1.0,0.00043785572052001953,0.7269526124000549
0,408279599,28574,5, common,3.09375,1.0,0.0011187195777893066,0.5568821430206299
0,439012895,29630,5, common,0.91796875,1.0,0.00042492151260375977,0.731281042098999
0,472366215,30735,1,Fact,0.8515625,1.0,0.00030303001403808594,0.7925289869308472
0,480794544,31008,6, color,2.59375,1.0,0.0011470913887023926,0.5501159429550171
0,503475777,31731,10, that,1.1875,1.0,0.000325620174407959,0.7803319692611694
0,503856639,31743,12, ',2.359375,1.0,0.0003789067268371582,0.7545509934425354
0,519950627,32246,1,Fact,1.375,1.0,0.00039708614349365234,0.744845986366272
0,591869214,34404,1,Fact,1.4921875,1.0,0.0005365610122680664,0.6845483779907227
0,595832459,34519,5, common,2.015625,1.0,0.000586092472076416,0.6684534549713135
0,605711414,34804,2,:,1.234375,1.0,0.0005623698234558105,0.673591136932373
0,617708525,35147,1,Fact,1.484375,1.0,0.00046330690383911133,0.7134954333305359
0,618095219,35158,6, color,3.8125,1.0,0.002402752637863159,0.43299487233161926
0,622674404,35288,11, goes,4.03125,1.0,0.0007784366607666016,0.626319408416748
0,646075430,35945,3, The,3.84375,1.0,0.0009617805480957031,0.592833399772644
0,646434945,35955,1,Fact,1.359375,1.0,0.00028580427169799805,0.7992734313011169
0,694135169,37258,13,bark,1.953125,1.0,0.0004425048828125,0.723872721195221
0,765324125,39122,2,:,5.375,1.0,0.0015000104904174805,0.5067945718765259
0,765324125,39122,7, of,4.125,1.0,0.0007807612419128418,0.6247618198394775
0,765324125,39122,8, the,4.3125,1.0,0.00040024518966674805,0.7440493106842041
0,765324125,39122,10, that,3.953125,1.0,0.00044989585876464844,0.7198577523231506
0,765324125,39122,12, ',4.3125,1.0,0.00044852495193481445,0.7207560539245605
0,765324125,39122,14,',5.25,1.0,0.00043141841888427734,0.7304307818412781
0,775214999,39374,15, is,0.69140625,1.0,0.0007632970809936523,0.6270827054977417
0,803503827,40086,15, is,1.484375,1.0,0.00043904781341552734,0.7260763049125671
0,831565370,40780,2,:,4.46875,1.0,0.001092672348022461,0.5634899139404297
0,831565370,40780,4, most,4.53125,1.0,0.0005118846893310547,0.6950670480728149
0,831565370,40780,7, of,5.53125,1.0,0.0009798407554626465,0.587011456489563
0,831565370,40780,8, the,6.4375,1.0,0.000570833683013916,0.6713319420814514
0,831565370,40780,10, that,7.96875,1.0,0.0009914636611938477,0.5850452780723572
0,831565370,40780,12, ',5.40625,1.0,0.0005518794059753418,0.676369309425354
0,831565370,40780,14,',4.59375,1.0,0.0004419684410095215,0.7243146896362305
0,831565370,40780,15, is,6.53125,1.0,0.002398282289505005,0.43539315462112427
0,837939452,40936,7, of,5.3125,1.0,0.002207815647125244,0.45143619179725647
0,931069127,43151,1,Fact,1.8125,1.0,0.0004228949546813965,0.7321283221244812
0,948105284,43544,6, color,2.9375,1.0,0.00280722975730896,0.42025867104530334
0,956265777,43731,5, common,1.671875,1.0,0.0004661679267883301,0.7116370797157288
0,977637870,44217,10, that,1.546875,1.0,0.00047147274017333984,0.7092950344085693
0,996163929,44634,1,Fact,4.0625,1.0,0.0013995766639709473,0.5168442130088806
0,999916839,44718,1,Fact,0.7265625,1.0,0.00033348798751831055,0.7763834595680237
0,1011262877,44971,1,Fact,1.046875,1.0,0.00038701295852661133,0.7511110305786133
0,1027925810,45340,1,Fact,0.6328125,1.0,0.00028651952743530273,0.7987016439437866
0,1048934502,45801,15, is,1.75,1.0,0.000681757926940918,0.6471538543701172
0,1063596380,46120,1,Fact,3.21875,1.0,0.00048404932022094727,0.7049861550331116
0,1072562769,46314,1,Fact,0.93359375,1.0,0.00032061338424682617,0.7819446325302124
0,1092991634,46753,5, common,1.796875,1.0,0.0004934072494506836,0.7005874514579773
0,1103019995,46967,9, animal,2.390625,1.0,0.000986337661743164,0.5860316157341003
0,1146989459,47894,10, that,2.15625,1.0,0.0005274415016174316,0.6898720860481262
0,1160391224,48173,5, common,1.734375,1.0,0.0008413195610046387,0.6116759181022644
0,1164007124,48248,5, common,0.9921875,1.0,0.0005463361740112305,0.6796651482582092
0,1210246200,49197,13,bark,1.15625,1.0,0.0002955794334411621,0.7952120900154114
0,1228171140,49560,15, is,3.671875,1.0,0.004535257816314697,0.37655335664749146
0,1228865099,49574,5, common,1.953125,1.0,0.001006484031677246,0.5790640711784363
0,1230650465,49610,13,bark,3.6875,1.0,0.0009160041809082031,0.5975275039672852
0,1300423500,50997,14,',3.234375,1.0,0.0005360245704650879,0.6850844025611877
0,1322805329,51434,3, The,3.515625,1.0,0.0011598467826843262,0.5478177666664124
0,1322805329,51434,8, the,5.6875,1.0,0.0011020898818969727,0.561302125453949
0,1324863549,51474,3, The,1.78125,1.0,0.0004500150680541992,0.719407856464386
0,1343822402,51841,11, goes,1.890625,1.0,0.00029724836349487305,0.7943240404129028
0,1357647885,52107,4, most,2.53125,1.0,0.0005967020988464355,0.6654987931251526
0,1443053502,53721,1,Fact,3.0625,1.0,0.001214146614074707,0.5359572172164917
0,1468792899,54198,3, The,7.09375,1.0,0.0008636713027954102,0.6091165542602539
0,1489133450,54572,3, The,2.640625,1.0,0.0005133748054504395,0.6945551633834839
0,1511262752,54976,13,bark,1.1640625,1.0,0.0003160834312438965,0.7851248383522034
0,1601015990,56585,9, animal,2.5625,1.0,0.0009524822235107422,0.5937858819961548
0,1609231545,56730,1,Fact,1.7265625,1.0,0.0005495548248291016,0.6780214309692383
0,1740529499,58999,4, most,3.328125,1.0,0.0010743141174316406,0.5656488537788391
0,1858700934,60969,13,bark,1.921875,1.0,0.0004903078079223633,0.7025571465492249
0,1895032265,61562,7, of,2.890625,1.0,0.00043278932571411133,0.7295669317245483
0,1923519299,62023,1,Fact,1.53125,1.0,0.0003898739814758301,0.7491698265075684
0,1933580390,62185,1,Fact,1.140625,1.0,0.0003667473793029785,0.7608810067176819
0,2142996777,65466,11, goes,1.3828125,1.0,0.00031054019927978516,0.7870038151741028
0,2220478119,66639,5, common,2.515625,1.0,0.0010375380516052246,0.5698535442352295
0,2339177400,68397,6, color,0.81640625,1.0,0.00031644105911254883,0.7848087549209595
0,2352671309,68594,1,Fact,0.9921875,1.0,0.00039267539978027344,0.7472160458564758
0,2404329839,69343,2,:,1.359375,1.0,0.0003826022148132324,0.7526496648788452
0,2454096710,70057,9, animal,1.625,1.0,0.00039958953857421875,0.7444489002227783
0,2454867414,70068,2,:,3.3125,1.0,0.0015307962894439697,0.49922975897789
0,2486993600,70525,1,Fact,2.421875,1.0,0.0004188418388366699,0.7342296838760376
0,2503524179,70759,3, The,1.9921875,1.0,0.0005512237548828125,0.6774718761444092
0,2543306859,71319,1,Fact,1.390625,1.0,0.0004570484161376953,0.7153316736221313
0,2561597675,71575,1,Fact,3.28125,1.0,0.0008265376091003418,0.6191930174827576
0,2579882195,71830,12, ',2.25,1.0,0.0003854036331176758,0.7518832087516785
0,2634690344,72589,12, ',2.359375,1.0,0.00032585859298706055,0.7796805500984192
0,2718019584,73728,5, common,3.125,1.0,0.0015374422073364258,0.49769896268844604
0,2720305679,73759,7, of,2.8125,1.0,0.0007562637329101562,0.6301259398460388
0,2877711179,75863,1,Fact,0.83984375,1.0,0.0002894401550292969,0.7975547313690186
0,2889938324,76024,6, color,2.046875,1.0,0.000553131103515625,0.6758174300193787
0,2942250404,76709,13,bark,1.234375,1.0,0.0006319284439086914,0.7857567667961121
0,2956074494,76889,1,Fact,1.125,1.0,0.000504612922668457,0.6970937848091125
0,2971241327,77086,11, goes,1.4375,1.0,0.00041610002517700195,0.7359004616737366
0,2986678827,77286,3, The,3.359375,1.0,0.0010280609130859375,0.5750113725662231
0,3050468885,78107,12, ',2.640625,1.0,0.0005037188529968262,0.6981018781661987
0,3057580899,78198,9, animal,1.1171875,1.0,0.00038868188858032227,0.7499473690986633
0,3083048549,78523,9, animal,1.34375,1.0,0.00032579898834228516,0.7800063490867615
0,3221114715,80262,1,Fact,2.859375,1.0,0.0011317133903503418,0.5523874163627625
0,3252009627,80646,1,Fact,0.9140625,1.0,0.0004532337188720703,0.7171508073806763
0,3329565605,81602,2,:,3.875,1.0,0.0011229515075683594,0.5557634234428406
0,3329565605,81602,12, ',4.25,1.0,0.0005005002021789551,0.6986023783683777
0,3500208945,83667,5, common,1.328125,1.0,0.0003960728645324707,0.7456391453742981
0,3542925752,84176,1,Fact,1.234375,1.0,0.00035184621810913086,0.7655113339424133
0,3577522577,84586,5, common,0.71484375,1.0,0.00028973817825317383,0.7969756126403809
0,3605151240,84912,4, most,1.375,1.0,0.00028967857360839844,0.7972652912139893
0,3612287502,84996,1,Fact,0.921875,1.0,0.0003489851951599121,0.7662092447280884
0,3664236420,85605,1,Fact,2.65625,1.0,0.0007627010345458984,0.6278454065322876
0,3671002454,85684,13,bark,1.6875,1.0,0.00040918588638305664,0.7383798956871033
0,3739524920,86480,1,Fact,0.7265625,1.0,0.00030690431594848633,0.7903987765312195
0,3898047659,88294,4, most,2.265625,1.0,0.0003483295440673828,0.7665575742721558
0,3925378709,88603,11, goes,2.6875,1.0,0.0004455447196960449,0.7220976948738098
0,3944362970,88817,4, most,4.375,1.0,0.0014058947563171387,0.5154446363449097
0,3954316914,88929,2,:,2.25,1.0,0.0012646913528442383,0.526023268699646
0,3967667739,89079,13,bark,1.921875,1.0,0.0003885030746459961,0.7503358721733093
0,3989790455,89327,1,Fact,1.0546875,1.0,0.00046956539154052734,0.7102346420288086
0,4042848159,89919,15, is,2.65625,1.0,0.000432431697845459,0.7299993634223938
0,4064277560,90157,9, animal,1.578125,1.0,0.00048655271530151367,0.7035325169563293
0,4066622019,90183,2,:,2.15625,1.0,0.0010245442390441895,0.5760359168052673
0,4143731129,91034,1,Fact,2.0625,1.0,0.0011671781539916992,0.5454920530319214
0,4144732580,91045,15, is,2.265625,1.0,0.003778010606765747,0.4007887542247772
0,4192669805,91570,1,Fact,3.265625,1.0,0.000877082347869873,0.6073843240737915
0,4194593027,91591,6, color,0.9296875,1.0,0.0004928708076477051,0.7020668387413025
