layer,feature,id,ctx_idx,token,activation,frac_external_raw,node_influence,cumulative_influence
-1,0,2,0,<bos>,,1.0,0.05973740294575691,0.05973740294575691
-1,1,18143,1,Fact,,1.0,0.03888469189405441,0.14196719229221344
-1,2,235292,2,:,,1.0,0.019447743892669678,0.19410626590251923
-1,3,714,3, The,,1.0,0.014905989170074463,0.24262377619743347
-1,4,1546,4, most,,1.0,0.016426771879196167,0.227717787027359
-1,5,3818,5, common,,1.0,0.014789491891860962,0.25741326808929443
-1,6,2881,6, color,,1.0,0.043345097452402115,0.10308250039815903
-1,7,576,7, of,,1.0,0.010056763887405396,0.29238107800483704
-1,8,573,8, the,,1.0,0.008169114589691162,0.335502952337265
-1,9,8205,9, animal,,1.0,0.013908565044403076,0.2713218331336975
-1,10,674,10, that,,1.0,0.008651971817016602,0.3190065324306488
-1,11,6128,11, goes,,1.0,0.008327305316925049,0.32733383774757385
-1,12,777,12, ',,1.0,0.01100248098373413,0.28232431411743164
-1,13,117712,13,meow,,1.0,0.017184749245643616,0.21129101514816284
-1,14,235303,14,',,1.0,0.009058535099029541,0.3014396131038666
-1,15,603,15, is,,1.0,0.03269132971763611,0.17465852200984955
0,-1,0,1,Fact,,1.0,0.0010969042778015137,0.5682095885276794
0,-1,0,2,:,,1.0,0.0009500980377197266,0.5986617207527161
0,-1,0,3, The,,1.0,0.0004341006278991699,0.7413195371627808
0,-1,0,4, most,,1.0,0.00032073259353637695,0.7936950325965881
0,-1,0,5, common,,1.0,0.0006946325302124023,0.6511611342430115
0,-1,0,6, color,,1.0,0.0012264847755432129,0.5465092062950134
0,-1,0,7, of,,1.0,0.0003618597984313965,0.7746649384498596
0,-1,0,9, animal,,1.0,0.0005963444709777832,0.6721835136413574
0,-1,0,11, goes,,1.0,0.00042319297790527344,0.7451794743537903
0,-1,0,13,meow,,1.0,0.001135110855102539,0.5559713840484619
0,-1,0,15, is,,1.0,0.00044292211532592773,0.7386956810951233
0,26795,230,15, is,3.21875,1.0,0.002562880516052246,0.45488792657852173
0,61424,349,9, animal,1.2734375,1.0,0.00032573938369750977,0.7904647588729858
0,827540,1285,1,Fact,2.046875,1.0,0.0003592371940612793,0.7757465839385986
0,2338202,2161,2,:,5.28125,1.0,0.0017429888248443604,0.4965503215789795
0,2338202,2161,7, of,2.296875,1.0,0.00044792890548706055,0.7351329326629639
0,2338202,2161,14,',4.6875,1.0,0.0006054043769836426,0.6703836917877197
0,4337984,2944,6, color,2.921875,1.0,0.0003383755683898926,0.7861584424972534
0,5522825,3322,2,:,1.21875,1.0,0.0007284879684448242,0.6447626948356628
0,7336364,3829,14,',3.359375,1.0,0.00040352344512939453,0.7538618445396423
0,8058104,4013,5, common,1.0703125,1.0,0.0004520416259765625,0.7319859862327576
0,9285894,4308,6, color,1.40625,1.0,0.0010605454444885254,0.5757571458816528
0,11359760,4765,14,',3.046875,1.0,0.00037091970443725586,0.7680676579475403
0,13527800,5200,15, is,2.90625,1.0,0.004289984703063965,0.40025243163108826
0,16447979,5734,5, common,1.2265625,1.0,0.0005725622177124023,0.6785701513290405
0,17538002,5921,5, common,1.1640625,1.0,0.00041222572326660156,0.7502034902572632
0,24482502,6996,5, common,1.484375,1.0,0.0005116462707519531,0.6994012594223022
0,26780220,7317,4, most,1.46875,1.0,0.0003896355628967285,0.7578215599060059
0,28474830,7545,14,',2.234375,1.0,0.0003426074981689453,0.7830998301506042
0,28557902,7556,6, color,1.109375,1.0,0.00046885013580322266,0.7214173078536987
0,44363489,9418,1,Fact,2.6875,1.0,0.0007843375205993652,0.6267595291137695
0,70252730,11852,1,Fact,1.65625,1.0,0.00033026933670043945,0.789156973361969
0,74011860,12165,12, ',3.4375,1.0,0.0007299184799194336,0.6425763368606567
0,80981900,12725,5, common,1.328125,1.0,0.0003744363784790039,0.7662075161933899
0,81721719,12783,5, common,0.94921875,1.0,0.00030994415283203125,0.7996611595153809
0,87285077,13211,6, color,1.3125,1.0,0.0004934072494506836,0.7074313759803772
0,91226277,13506,8, the,3.265625,1.0,0.00039273500442504883,0.7570417523384094
0,125112470,15817,1,Fact,2.53125,1.0,0.000437319278717041,0.7400129437446594
0,129387740,16085,4, most,1.4296875,1.0,0.00034123659133911133,0.7841235995292664
0,133456952,16336,1,Fact,0.88671875,1.0,0.000325620174407959,0.7907903790473938
0,157380410,17740,4, most,2.296875,1.0,0.0005335807800292969,0.6879182457923889
0,175865634,18753,2,:,7.96875,1.0,0.001979738473892212,0.4722558259963989
0,175865634,18753,7, of,6.90625,1.0,0.0009345412254333496,0.604289174079895
0,175865634,18753,8, the,6.75,1.0,0.000562131404876709,0.6819608211517334
0,175865634,18753,10, that,4.28125,1.0,0.00047719478607177734,0.7166773080825806
0,175865634,18753,12, ',5.25,1.0,0.0006430745124816895,0.6610814929008484
0,175865634,18753,14,',6.40625,1.0,0.0006557106971740723,0.65719074010849
0,175865634,18753,15, is,5.46875,1.0,0.002550184726715088,0.4574381113052368
0,203464877,20171,10, that,2.53125,1.0,0.0006570816040039062,0.6558783650398254
0,247297679,22238,9, animal,2.40625,1.0,0.0006139874458312988,0.6685560941696167
0,264603509,23003,2,:,2.375,1.0,0.001109778881072998,0.5626959204673767
0,266516327,23086,1,Fact,1.328125,1.0,0.0003789067268371582,0.7631962895393372
0,271573164,23304,13,meow,1.484375,1.0,0.00045615434646606445,0.7283517718315125
0,312112619,24983,3, The,1.7421875,1.0,0.00046253204345703125,0.7246749997138977
0,332574944,25789,2,:,0.73828125,1.0,0.00035303831100463867,0.77752286195755
0,337623104,25984,8, the,2.9375,1.0,0.00045603513717651367,0.728807806968689
0,356832254,26713,13,meow,2.75,1.0,0.0007807016372680664,0.6275402307510376
0,357687630,26745,9, animal,1.515625,1.0,0.0004913806915283203,0.7098912596702576
0,380811002,27596,5, common,1.875,1.0,0.0007919669151306152,0.6259751915931702
0,398141870,28217,14,',3.078125,1.0,0.00041353702545166016,0.7497912645339966
0,408279599,28574,5, common,3.09375,1.0,0.0010509490966796875,0.5768080949783325
0,439012895,29630,5, common,0.91796875,1.0,0.0004163384437561035,0.7489616870880127
0,472366215,30735,1,Fact,0.8515625,1.0,0.0003203153610229492,0.7940153479576111
0,480794544,31008,6, color,2.59375,1.0,0.0012377500534057617,0.5428174734115601
0,503475777,31731,10, that,1.1875,1.0,0.00032645463943481445,0.7898125648498535
0,503856639,31743,12, ',2.359375,1.0,0.0004832744598388672,0.7142728567123413
0,519950627,32246,1,Fact,1.375,1.0,0.00043648481369018555,0.7404494285583496
0,591869214,34404,1,Fact,1.4921875,1.0,0.0005823969841003418,0.6745309829711914
0,595832459,34519,5, common,2.015625,1.0,0.0006299614906311035,0.6629814505577087
0,605711414,34804,2,:,1.234375,1.0,0.0005667805671691895,0.6797069311141968
0,617708525,35147,1,Fact,1.484375,1.0,0.0004715919494628906,0.720479428768158
0,618095219,35158,6, color,3.8125,1.0,0.0022410452365875244,0.45967915654182434
0,622674404,35288,11, goes,4.03125,1.0,0.0007432699203491211,0.6359442472457886
0,646075430,35945,3, The,3.84375,1.0,0.0010271072387695312,0.5809755325317383
0,694135169,37258,13,meow,1.3125,1.0,0.0003555417060852051,0.7768160104751587
